year,state,U-4
2013,Alabama,7.6
2013,Alaska,7.6
2013,Arizona,7.6
2013,Arkansas,6.1
2013,California,8
2013,Colorado,5.1
2013,Connecticut,7.2
2013,Delaware,6.5
2013,District of Columbia,8.3
2013,Florida,6.8
2013,Georgia,7.9
2013,Hawaii,4.7
2013,Idaho,4.8
2013,Illinois,7.4
2013,Indiana,6.5
2013,Iowa,4.8
2013,Kansas,4.8
2013,Kentucky,6.8
2013,Louisiana,6.9
2013,Maine,6.2
2013,Maryland,6.2
2013,Massachusetts,6.1
2013,Michigan,7.6
2013,Minnesota,4.3
2013,Mississippi,8.4
2013,Missouri,6.8
2013,Montana,4.9
2013,Nebraska,3.5
2013,Nevada,8.4
2013,New Hampshire,4.5
2013,New Jersey,7.1
2013,New Mexico,7.6
2013,New York,6.9
2013,North Carolina,6.8
2013,North Dakota,3
2013,Ohio,6
2013,Oklahoma,5
2013,Oregon,7.4
2013,Pennsylvania,6.2
2013,Rhode Island,8.1
2013,South Carolina,7.1
2013,South Dakota,3.7
2013,Tennessee,7.1
2013,Texas,5.4
2013,Utah,4.2
2013,Vermont,4.5
2013,Virginia,5.5
2013,Washington,6.6
2013,West Virginia,7.1
2013,Wisconsin,5.8
2013,Wyoming,4.5
2014,Alabama,7.6
2014,Alaska,7.6
2014,Arizona,7.6
2014,Arkansas,6.1
2014,California,8
2014,Colorado,5.1
2014,Connecticut,7.2
2014,Delaware,6.5
2014,District of Columbia,8.3
2014,Florida,6.8
2014,Georgia,7.9
2014,Hawaii,4.7
2014,Idaho,4.8
2014,Illinois,7.4
2014,Indiana,6.5
2014,Iowa,4.8
2014,Kansas,4.8
2014,Kentucky,6.8
2014,Louisiana,6.9
2014,Maine,6.2
2014,Maryland,6.2
2014,Massachusetts,6.1
2014,Michigan,7.6
2014,Minnesota,4.3
2014,Mississippi,8.4
2014,Missouri,6.8
2014,Montana,4.9
2014,Nebraska,3.5
2014,Nevada,8.4
2014,New Hampshire,4.5
2014,New Jersey,7.1
2014,New Mexico,7.6
2014,New York,6.9
2014,North Carolina,6.8
2014,North Dakota,3
2014,Ohio,6
2014,Oklahoma,5
2014,Oregon,7.4
2014,Pennsylvania,6.2
2014,Rhode Island,8.1
2014,South Carolina,7.1
2014,South Dakota,3.7
2014,Tennessee,7.1
2014,Texas,5.4
2014,Utah,4.2
2014,Vermont,4.5
2014,Virginia,5.5
2014,Washington,6.6
2014,West Virginia,7.1
2014,Wisconsin,5.8
2014,Wyoming,4.5
2015,Alabama,6.8
2015,Alaska,7.2
2015,Arizona,6.5
2015,Arkansas,5.6
2015,California,6.5
2015,Colorado,4
2015,Connecticut,6.1
2015,Delaware,5.4
2015,District of Columbia,7.3
2015,Florida,6
2015,Georgia,6.3
2015,Hawaii,4.1
2015,Idaho,4.4
2015,Illinois,6.4
2015,Indiana,5.1
2015,Iowa,3.7
2015,Kansas,4.6
2015,Kentucky,5.7
2015,Louisiana,6.7
2015,Maine,4.7
2015,Maryland,5.5
2015,Massachusetts,5.2
2015,Michigan,5.9
2015,Minnesota,4.1
2015,Mississippi,6.9
2015,Missouri,5.4
2015,Montana,4.4
2015,Nebraska,3.2
2015,Nevada,7.3
2015,New Hampshire,3.7
2015,New Jersey,6.2
2015,New Mexico,7.2
2015,New York,5.8
2015,North Carolina,6.4
2015,North Dakota,2.9
2015,Ohio,5.3
2015,Oklahoma,4.6
2015,Oregon,6.1
2015,Pennsylvania,5.5
2015,Rhode Island,6.2
2015,South Carolina,6.4
2015,South Dakota,3.7
2015,Tennessee,6.2
2015,Texas,4.8
2015,Utah,3.8
2015,Vermont,3.9
2015,Virginia,4.8
2015,Washington,6
2015,West Virginia,7.3
2015,Wisconsin,4.8
2015,Wyoming,4.3
2016,Alabama,6.4
2016,Alaska,7.2
2016,Arizona,5.5
2016,Arkansas,4.2
2016,California,5.7
2016,Colorado,3.4
2016,Connecticut,5.5
2016,Delaware,4.6
2016,District of Columbia,6.4
2016,Florida,5.4
2016,Georgia,5.8
2016,Hawaii,3.4
2016,Idaho,4
2016,Illinois,6.2
2016,Indiana,4.7
2016,Iowa,4.1
2016,Kansas,4.4
2016,Kentucky,5.5
2016,Louisiana,6.8
2016,Maine,4.2
2016,Maryland,4.5
2016,Massachusetts,4.2
2016,Michigan,5.3
2016,Minnesota,4.1
2016,Mississippi,6.2
2016,Missouri,4.7
2016,Montana,4.5
2016,Nebraska,3.4
2016,Nevada,6.3
2016,New Hampshire,3
2016,New Jersey,5.4
2016,New Mexico,7.3
2016,New York,5.1
2016,North Carolina,5.4
2016,North Dakota,3.6
2016,Ohio,5.2
2016,Oklahoma,5.4
2016,Oregon,5.2
2016,Pennsylvania,5.9
2016,Rhode Island,5.6
2016,South Carolina,5.2
2016,South Dakota,3
2016,Tennessee,5.1
2016,Texas,4.8
2016,Utah,3.7
2016,Vermont,3.4
2016,Virginia,4.4
2016,Washington,5.8
2016,West Virginia,6.5
2016,Wisconsin,4.3
2016,Wyoming,5.7
2017,Alabama,4.7
2017,Alaska,8.4
2017,Arizona,5
2017,Arkansas,3.9
2017,California,5.1
2017,Colorado,3.1
2017,Connecticut,5.3
2017,Delaware,5.3
2017,District of Columbia,6.5
2017,Florida,4.4
2017,Georgia,5.1
2017,Hawaii,2.7
2017,Idaho,3.3
2017,Illinois,5.2
2017,Indiana,3.8
2017,Iowa,3.5
2017,Kansas,3.7
2017,Kentucky,5.4
2017,Louisiana,5.6
2017,Maine,3.4
2017,Maryland,4.4
2017,Massachusetts,4.1
2017,Michigan,4.9
2017,Minnesota,3.5
2017,Mississippi,5.5
2017,Missouri,4
2017,Montana,4.3
2017,Nebraska,3
2017,Nevada,5.4
2017,New Hampshire,2.9
2017,New Jersey,5
2017,New Mexico,6.4
2017,New York,5
2017,North Carolina,4.8
2017,North Dakota,2.7
2017,Ohio,5.3
2017,Oklahoma,4.6
2017,Oregon,4.2
2017,Pennsylvania,5.1
2017,Rhode Island,4.6
2017,South Carolina,4.7
2017,South Dakota,3.9
2017,Tennessee,4.1
2017,Texas,4.6
2017,Utah,3.4
2017,Vermont,3.3
2017,Virginia,4
2017,Washington,4.9
2017,West Virginia,5.6
2017,Wisconsin,3.3
2017,Wyoming,4.5
2018,Alabama,4.3
2018,Alaska,7.1
2018,Arizona,4.8
2018,Arkansas,4.1
2018,California,4.4
2018,Colorado,3.5
2018,Connecticut,4.4
2018,Delaware,4.1
2018,District of Columbia,5.9
2018,Florida,3.9
2018,Georgia,4.3
2018,Hawaii,2.8
2018,Idaho,3.1
2018,Illinois,4.4
2018,Indiana,3.7
2018,Iowa,2.7
2018,Kansas,3.6
2018,Kentucky,4.6
2018,Louisiana,5.4
2018,Maine,3.6
2018,Maryland,4.4
2018,Massachusetts,3.6
2018,Michigan,4.4
2018,Minnesota,2.9
2018,Mississippi,5.3
2018,Missouri,3.5
2018,Montana,3.9
2018,Nebraska,3
2018,Nevada,4.9
2018,New Hampshire,2.7
2018,New Jersey,4.5
2018,New Mexico,5
2018,New York,4.5
2018,North Carolina,4.2
2018,North Dakota,2.9
2018,Ohio,4.7
2018,Oklahoma,3.7
2018,Oregon,4.3
2018,Pennsylvania,4.5
2018,Rhode Island,4.2
2018,South Carolina,3.9
2018,South Dakota,3.1
2018,Tennessee,3.8
2018,Texas,4.1
2018,Utah,3.4
2018,Vermont,2.9
2018,Virginia,3
2018,Washington,4.7
2018,West Virginia,5.6
2018,Wisconsin,3.1
2018,Wyoming,4.3
2019,Alabama,3.2
2019,Alaska,6.5
2019,Arizona,5
2019,Arkansas,3.8
2019,California,4.3
2019,Colorado,2.8
2019,Connecticut,4.1
2019,Delaware,4.3
2019,District of Columbia,6
2019,Florida,3.4
2019,Georgia,3.8
2019,Hawaii,3
2019,Idaho,3
2019,Illinois,4.1
2019,Indiana,3.6
2019,Iowa,2.9
2019,Kansas,3.3
2019,Kentucky,4.6
2019,Louisiana,5.3
2019,Maine,3.2
2019,Maryland,3.7
2019,Massachusetts,3.1
2019,Michigan,4.3
2019,Minnesota,3.3
2019,Mississippi,6.1
2019,Missouri,3.4
2019,Montana,3.7
2019,Nebraska,3.4
2019,Nevada,4.2
2019,New Hampshire,2.7
2019,New Jersey,3.7
2019,New Mexico,5.1
2019,New York,4.3
2019,North Carolina,4.2
2019,North Dakota,2.5
2019,Ohio,4.1
2019,Oklahoma,3.6
2019,Oregon,3.8
2019,Pennsylvania,4.5
2019,Rhode Island,3.7
2019,South Carolina,3.1
2019,South Dakota,3.6
2019,Tennessee,3.6
2019,Texas,3.7
2019,Utah,2.7
2019,Vermont,2.4
2019,Virginia,3
2019,Washington,4.4
2019,West Virginia,5
2019,Wisconsin,3.5
2019,Wyoming,3.6
2020,Alabama,6.2
2020,Alaska,8.2
2020,Arizona,7.9
2020,Arkansas,6.5
2020,California,10.6
2020,Colorado,7.5
2020,Connecticut,8.3
2020,Delaware,8
2020,District of Columbia,8.3
2020,Florida,8.5
2020,Georgia,7
2020,Hawaii,11.9
2020,Idaho,5.2
2020,Illinois,9.4
2020,Indiana,7.3
2020,Iowa,5.6
2020,Kansas,5.9
2020,Kentucky,6.9
2020,Louisiana,8.8
2020,Maine,5.7
2020,Maryland,7
2020,Massachusetts,9.6
2020,Michigan,10.1
2020,Minnesota,6
2020,Mississippi,8.7
2020,Missouri,6.4
2020,Montana,6
2020,Nebraska,4.6
2020,Nevada,13.4
2020,New Hampshire,6.7
2020,New Jersey,9.9
2020,New Mexico,8.9
2020,New York,10.4
2020,North Carolina,7.4
2020,North Dakota,5.1
2020,Ohio,8.6
2020,Oklahoma,6.4
2020,Oregon,8.1
2020,Pennsylvania,9.2
2020,Rhode Island,9.5
2020,South Carolina,6.6
2020,South Dakota,4.7
2020,Tennessee,8
2020,Texas,7.9
2020,Utah,5
2020,Vermont,5.9
2020,Virginia,6.5
2020,Washington,8.5
2020,West Virginia,8.5
2020,Wisconsin,6.6
2020,Wyoming,6.1
2021,Alabama,3.8
2021,Alaska,7.1
2021,Arizona,5.3
2021,Arkansas,4.4
2021,California,7.6
2021,Colorado,5.3
2021,Connecticut,6.5
2021,Delaware,5.7
2021,District of Columbia,6.5
2021,Florida,4.9
2021,Georgia,4.3
2021,Hawaii,6.7
2021,Idaho,3.9
2021,Illinois,6.2
2021,Indiana,3.9
2021,Iowa,4
2021,Kansas,3.6
2021,Kentucky,4.9
2021,Louisiana,5.8
2021,Maine,4.6
2021,Maryland,5.9
2021,Massachusetts,6
2021,Michigan,5.9
2021,Minnesota,4
2021,Mississippi,5.9
2021,Missouri,4.5
2021,Montana,3.4
2021,Nebraska,2.9
2021,Nevada,8.1
2021,New Hampshire,3.8
2021,New Jersey,6.7
2021,New Mexico,7
2021,New York,7.5
2021,North Carolina,4.9
2021,North Dakota,3.5
2021,Ohio,5.2
2021,Oklahoma,4.4
2021,Oregon,5.4
2021,Pennsylvania,6.7
2021,Rhode Island,5.7
2021,South Carolina,4.5
2021,South Dakota,2.7
2021,Tennessee,4.3
2021,Texas,6
2021,Utah,3.1
2021,Vermont,3.8
2021,Virginia,4.2
2021,Washington,5.9
2021,West Virginia,5.1
2021,Wisconsin,3.8
2021,Wyoming,4.6
2022,Alabama,2.7
2022,Alaska,4.8
2022,Arizona,4.1
2022,Arkansas,4
2022,California,4.4
2022,Colorado,3.2
2022,Connecticut,4.4
2022,Delaware,4.8
2022,District of Columbia,4.9
2022,Florida,3.1
2022,Georgia,3.5
2022,Hawaii,3.8
2022,Idaho,2.9
2022,Illinois,4.6
2022,Indiana,3.3
2022,Iowa,2.7
2022,Kansas,2.8
2022,Kentucky,4
2022,Louisiana,4.1
2022,Maine,3.5
2022,Maryland,3.5
2022,Massachusetts,3.6
2022,Michigan,4.3
2022,Minnesota,2.8
2022,Mississippi,4.3
2022,Missouri,2.9
2022,Montana,2.8
2022,Nebraska,2.5
2022,Nevada,5.6
2022,New Hampshire,2.9
2022,New Jersey,4.1
2022,New Mexico,4.2
2022,New York,4.9
2022,North Carolina,4
2022,North Dakota,1.9
2022,Ohio,4
2022,Oklahoma,3.9
2022,Oregon,4.4
2022,Pennsylvania,4.4
2022,Rhode Island,3.6
2022,South Carolina,3.6
2022,South Dakota,1.9
2022,Tennessee,3.7
2022,Texas,4
2022,Utah,2.5
2022,Vermont,2.6
2022,Virginia,3
2022,Washington,4.6
2022,West Virginia,4
2022,Wisconsin,3.4
2022,Wyoming,3.6
